['BSW-LP', ['WBNB', 'FARA'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xF4Ed363144981D3A65f42e7D0DC54FF9EEf559A1']]
['BSW-LP', ['SPS', 'WBNB'], ['0x1633b7157e7638C4d6593436111Bf125Ee74703F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BSW', 'BabyDoge'], ['0x965F527D9159dCe6288a2219DB51fc6Eef120dD1', '0xc748673057861a797275CD8A068AbB95A902e8de']]
['BSW-LP', ['BEL', 'WBNB'], ['0x8443f091997f06a61670B735ED92734F5628692F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['AMLO', 'USDT'], ['0x4f359c7CA74dd6e9380CACaf28989f3c8Ae7e51E', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['AMLO', 'BSW'], ['0x4f359c7CA74dd6e9380CACaf28989f3c8Ae7e51E', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['C98', 'WBNB'], ['0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BMON', 'BUSD'], ['0x08ba0619b1e7A582E0BCe5BBE9843322C954C340', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['WBNB', 'TENFI'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xd15C444F1199Ae72795eba15E8C1db44E47abF62']]
['BSW-LP', ['CCAR', 'WBNB'], ['0x50332bdca94673F33401776365b66CC4e81aC81d', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BABY', 'USDT'], ['0x53E562b9B7E5E94b81f10e96Ee70Ad06df3D2657', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['Zoo', 'WBNB'], ['0x1D229B958D5DDFca92146585a8711aECbE56F095', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['Key', 'BUSD'], ['0x6652462466DCeE5Cb1dda95379FaE3c3E57f6719', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['ALU', 'WBNB'], ['0x8263CD1601FE73C066bf49cc09841f35348e3be0', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['ALU', 'BSW'], ['0x8263CD1601FE73C066bf49cc09841f35348e3be0', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['WBNB', 'ETERNAL'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD44FD09d74cd13838F137B590497595d6b3FEeA4']]
['BSW-LP', ['PCT', 'WBNB'], ['0x4631d9D8b34f51B82958a19453bdc9eA0C4E49FC', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['Kala', 'BUSD'], ['0x32299c93960bB583A43c2220Dc89152391A610c5', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['AIRT', 'WBNB'], ['0x016CF83732f1468150D87dCC5BdF67730B3934D3', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['PEARL', 'WBNB'], ['0x118B60763002f3Ba7603A3c17F946A0c7daB789F', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['UST', 'USDC'], ['0x23396cF899Ca06c4472205fC903bDB4de249D6fC', '0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d']]
['BSW-LP', ['ZOON', 'WBNB'], ['0x9D173E6c594f479B4d47001F8E6A95A7aDDa42bC', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['USDT', 'MDX'], ['0x55d398326f99059fF775485246999027B3197955', '0x9C65AB58d8d978DB963e63f2bfB7121627e3a739']]
['BSW-LP', ['HOTCROSS', 'BUSD'], ['0x4FA7163E153419E0E1064e418dd7A99314Ed27b6', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['A', 'BFG'], ['0x066546D90c9a553f5d44476b367d6Aa7CaD37e5c', '0xBb46693eBbEa1aC2070E59B4D043b47e2e095f86']]
['BSW-LP', ['SHIB', 'WBNB'], ['0x2859e4544C4bB03966803b044A93563Bd2D0DD4D', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['FTM', 'WBNB'], ['0xAD29AbB318791D579433D831ed122aFeAf29dcfe', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'MATIC'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xCC42724C6683B7E57334c4E856f4c9965ED682bD']]
['BSW-LP', ['USDT', 'ETERNAL'], ['0x55d398326f99059fF775485246999027B3197955', '0xD44FD09d74cd13838F137B590497595d6b3FEeA4']]
['BSW-LP', ['bMXX', 'WBNB'], ['0x4131b87F74415190425ccD873048C708F8005823', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WSG', 'GNBR'], ['0xA58950F05FeA2277d2608748412bf9F802eA4901', '0xcdf9c54BbAf9B13aCf5506F00CeCee7e4FC51561']]
['BSW-LP', ['FORM', 'BUSD'], ['0x25A528af62e56512A19ce8c3cAB427807c28CC19', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['RACA', 'WBNB'], ['0x12BB890508c125661E03b09EC06E404bc9289040', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['WBNB', 'HERO'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13']]
['BSW-LP', ['BUSD', 'Bits'], ['0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56', '0xFE2Cd84D547bB635e6843557A7b2068937C5feB8']]
['BSW-LP', ['MONI', 'BSW'], ['0x9573c88aE3e37508f87649f87c4dd5373C9F31e0', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['BNX', 'WBNB'], ['0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['SOL', 'WBNB'], ['0x570A5D26f7765Ecb712C0924E4De545B89fD43dF', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['NEAR', 'WBNB'], ['0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['AVAX', 'WBNB'], ['0x1CE0c2827e2eF14D5C4f29a091d735A204794041', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['HOTCROSS', 'HOTDOG'], ['0x4FA7163E153419E0E1064e418dd7A99314Ed27b6', '0xd6aB096eCE76789620A6aCdC34f8dADD04627DC5']]
['BSW-LP', ['RACA', 'BSW'], ['0x12BB890508c125661E03b09EC06E404bc9289040', '0x965F527D9159dCe6288a2219DB51fc6Eef120dD1']]
['BSW-LP', ['WBNB', 'LIQ'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xc7981767f644C7F8e483DAbDc413e8a371b83079']]
['BSW-LP', ['PEP', 'BUSD'], ['0x306C1Cee58151fC70CEcA5d17c6ad511532390c4', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['WBNB', 'CEEK'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xe0F94Ac5462997D2BC57287Ac3a3aE4C31345D66']]
['BSW-LP', ['WBNB', 'ELMON'], ['0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c', '0xE3233fdb23F1c27aB37Bd66A19a1f1762fCf5f3F']]
